Codigo,DescripcionES,DescripcionEN,DescripcionFR,DescripcionDE,DescripcionPT
32,"EQUIPOS DE RADIO, TV Y TELECOMUNICACIONES","RADIO, TV AND TELECOMMUNICATIONS EQUIPMENT","ÉQUIPEMENTS RADIO, TV ET TÉLÉCOMMUNICATIONS","RADIO-, TV- UND TELEKOMMUNIKATIONSGERÄTE","EQUIPAMENTOS DE RÁDIO, TV E TELECOMUNICAÇÕES"
33,EQUIPOS MÉDICOS Y PRODUCTOS FARMACÉUTICOS,MEDICAL EQUIPMENT AND PHARMACEUTICALS,ÉQUIPEMENTS MÉDICAUX ET PRODUITS PHARMACEUTIQUES,MEDIZINISCHE GERÄTE UND PHARMAZEUTIKA,EQUIPAMENTOS MÉDICOS E PRODUTOS FARMACÊUTICOS
34,EQUIPOS Y MATERIAL DE TRANSPORTE,TRANSPORT EQUIPMENT AND MATERIALS,MATÉRIEL ET ÉQUIPEMENTS DE TRANSPORT,TRANSPORTAUSRÜSTUNG UND -MATERIALIEN,EQUIPAMENTOS E MATERIAIS DE TRANSPORTE
35,"EQUIPOS DE SEGURIDAD, DEFENSA Y POLICÍA","SECURITY, DEFENCE AND POLICE EQUIPMENT","ÉQUIPEMENTS DE SÉCURITÉ, DÉFENSE ET POLICE","SICHERHEITS-, VERTEIDIGUNGS- UND POLIZEIAUSRÜSTUNG","EQUIPAMENTOS DE SEGURANÇA, DEFESA E POLÍCIA"
37,"INSTRUMENTOS MUSICALES, DEPORTE, JUGUETES Y ARTESANÍA","MUSICAL INSTRUMENTS, SPORT, TOYS AND CRAFTS","INSTRUMENTS DE MUSIQUE, SPORT, JOUETS ET ARTISANAT","MUSIKINSTRUMENTE, SPORT, SPIELZEUG UND HANDWERK","INSTRUMENTOS MUSICAIS, ESPORTE, BRINQUEDOS E ARTESANATO"
38,"EQUIPOS DE LABORATORIO, ÓPTICA Y PRECISIÓN","LABORATORY, OPTICAL AND PRECISION EQUIPMENT","ÉQUIPEMENTS DE LABORATOIRE, OPTIQUE ET PRÉCISION","LABOR-, OPTIK- UND PRÄZISIONSGERÄTE","EQUIPAMENTOS DE LABORATÓRIO, ÓPTICA E PRECISÃO"
39,"MOBILIARIO, ELECTRODOMÉSTICOS Y LIMPIEZA","FURNITURE, APPLIANCES AND CLEANING PRODUCTS","MEUBLES, ÉLECTROMÉNAGER ET PRODUITS D'ENTRETIEN","MÖBEL, HAUSHALTSGERÄTE UND REINIGUNGSPRODUKTE","MOBILIÁRIO, ELETRODOMÉSTICOS E PRODUTOS DE LIMPEZA"
41,AGUA,WATER,EAU,WASSER,ÁGUA
42,MAQUINARIA INDUSTRIAL,INDUSTRIAL MACHINERY,MACHINES INDUSTRIELLES,INDUSTRIEMASCHINEN,MAQUINARIA INDUSTRIAL
43,MAQUINARIA PARA MINERÍA Y CONSTRUCCIÓN,MINING AND CONSTRUCTION MACHINERY,MACHINES POUR MINES ET CONSTRUCTION,BERGBAU- UND BAUMASCHINEN,MAQUINARIA PARA MINERAÇÃO E CONSTRUÇÃO
44,MATERIALES Y ESTRUCTURAS DE CONSTRUCCIÓN,CONSTRUCTION MATERIALS AND STRUCTURES,MATÉRIAUX ET STRUCTURES DE CONSTRUCTION,BAUMATERIALIEN UND -STRUKTUREN,MATERIAIS E ESTRUTURAS DE CONSTRUÇÃO
45,TRABAJOS DE CONSTRUCCIÓN,CONSTRUCTION WORKS,TRAVAUX DE CONSTRUCTION,BAUARBEITEN,TRABALHOS DE CONSTRUÇÃO
48,SOFTWARE Y SISTEMAS DE INFORMACIÓN,SOFTWARE AND INFORMATION SYSTEMS,LOGICIELS ET SYSTÈMES D'INFORMATION,SOFTWARE UND INFORMATIONSSYSTEME,SOFTWARE E SISTEMAS DE INFORMAÇÃO
50,SERVICIOS DE REPARACIÓN Y MANTENIMIENTO,REPAIR AND MAINTENANCE SERVICES,SERVICES DE RÉPARATION ET D'ENTRETIEN,REPARATUR- UND WARTUNGSDIENSTLEISTUNGEN,SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO
51,SERVICIOS DE INSTALACIÓN,INSTALLATION SERVICES,SERVICES D'INSTALLATION,INSTALLATIONSDIENSTLEISTUNGEN,SERVIÇOS DE INSTALAÇÃO
55,"HOSTELERÍA, RESTAURACIÓN Y COMERCIO MINORISTA","HOTEL, CATERING AND RETAIL SERVICES","SERVICES HÔTELIERS, RESTAURATION ET VENTE AU DÉTAIL","HOTEL-, CATERING- UND EINZELHANDELSDIENSTLEISTUNGEN","HOTELARIA, RESTAURAÇÃO E COMÉRCIO VAREJISTA"
60,SERVICIOS DE TRANSPORTE,TRANSPORT SERVICES,SERVICES DE TRANSPORT,TRANSPORTDIENSTLEISTUNGEN,SERVIÇOS DE TRANSPORTE
63,SERVICIOS AUXILIARES DE TRANSPORTE Y TURISMO,AUXILIARY TRANSPORT AND TRAVEL SERVICES,SERVICES AUXILIAIRES DE TRANSPORT ET TOURISME,HILFSTRANSPORT- UND REISEDIENSTLEISTUNGEN,SERVIÇOS AUXILIARES DE TRANSPORTE E TURISMO
64,SERVICIOS POSTALES Y DE TELECOMUNICACIONES,POSTAL AND TELECOMMUNICATIONS SERVICES,SERVICES POSTAUX ET DE TÉLÉCOMMUNICATIONS,POST- UND TELEKOMMUNIKATIONSDIENSTLEISTUNGEN,SERVIÇOS POSTAIS E DE TELECOMUNICAÇÕES
65,"SERVICIOS PÚBLICOS (AGUA, GAS, ELECTRICIDAD)","PUBLIC UTILITIES (WATER, GAS, ELECTRICITY)","SERVICES PUBLICS (EAU, GAZ, ÉLECTRICITÉ)","ÖFFENTLICHE VERSORGUNG (WASSER, GAS, STROM)","SERVIÇOS PÚBLICOS (ÁGUA, GÁS, ELETRICIDADE)"
66,SERVICIOS FINANCIEROS Y DE SEGUROS,FINANCIAL AND INSURANCE SERVICES,SERVICES FINANCIERS ET D'ASSURANCE,FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN,SERVIÇOS FINANCEIROS E DE SEGUROS
70,SERVICIOS INMOBILIARIOS,REAL ESTATE SERVICES,SERVICES IMMOBILIERS,IMMOBILIENDIENSTLEISTUNGEN,SERVIÇOS IMOBILIÁRIOS
71,SERVICIOS DE ARQUITECTURA E INGENIERÍA,ARCHITECTURAL AND ENGINEERING SERVICES,SERVICES D'ARCHITECTURE ET D'INGÉNIERIE,ARCHITEKTUR- UND INGENIEURDIENSTLEISTUNGEN,SERVIÇOS DE ARQUITETURA E ENGENHARIA
72,SERVICIOS DE TECNOLOGÍA DE LA INFORMACIÓN,INFORMATION TECHNOLOGY SERVICES,SERVICES DE TECHNOLOGIES DE L'INFORMATION,INFORMATIONSTECHNOLOGIE-DIENSTLEISTUNGEN,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
73,SERVICIOS DE I+D Y CONSULTORÍA TÉCNICA,R&D AND TECHNICAL CONSULTANCY SERVICES,SERVICES DE R&D ET CONSEIL TECHNIQUE,F&E- UND TECHNISCHE BERATUNGSDIENSTLEISTUNGEN,SERVIÇOS DE I&D E CONSULTORIA TÉCNICA
75,SERVICIOS DE ADMINISTRACIÓN Y DEFENSA,ADMINISTRATION AND DEFENCE SERVICES,SERVICES D'ADMINISTRATION ET DE DÉFENSE,VERWALTUNGS- UND VERTEIDIGUNGSDIENSTLEISTUNGEN,SERVIÇOS DE ADMINISTRAÇÃO E DEFESA
76,SERVICIOS PARA LA INDUSTRIA PETROLERA Y DEL GAS,OIL AND GAS INDUSTRY SERVICES,SERVICES POUR L'INDUSTRIE PÉTROLIÈRE ET GAZIÈRE,DIENSTLEISTUNGEN FÜR DIE ÖL- UND GASINDUSTRIE,SERVIÇOS PARA A INDÚSTRIA PETROLÍFERA E DO GÁS
77,"SERVICIOS AGRÍCOLAS, FORESTALES Y ACUÍCOLAS","AGRICULTURAL, FORESTRY AND AQUACULTURE SERVICES","SERVICES AGRICOLES, FORESTIERS ET AQUACOLES","LAND-, FORST- UND AQUAKULTURDIENSTLEISTUNGEN","SERVIÇOS AGRÍCOLAS, FLORESTAIS E AQUÍCOLAS"
79,SERVICIOS EMPRESARIALES Y PROFESIONALES,BUSINESS AND PROFESSIONAL SERVICES,SERVICES AUX ENTREPRISES ET SERVICES PROFESSIONNELS,UNTERNEHMENS- UND PROFESSIONELLE DIENSTLEISTUNGEN,SERVIÇOS EMPRESARIAIS E PROFISSIONAIS
80,SERVICIOS DE EDUCACIÓN Y FORMACIÓN,EDUCATION AND TRAINING SERVICES,SERVICES D'ENSEIGNEMENT ET DE FORMATION,BILDUNGS- UND AUSBILDUNGSDIENSTLEISTUNGEN,SERVIÇOS DE EDUCAÇÃO E FORMAÇÃO
85,SERVICIOS SANITARIOS Y ASISTENCIA SOCIAL,HEALTH AND SOCIAL SERVICES,SERVICES DE SANTÉ ET SERVICES SOCIAUX,GESUNDHEITS- UND SOZIALE DIENSTLEISTUNGEN,SERVIÇOS DE SAÚDE E ASSISTÊNCIA SOCIAL
90,SERVICIOS MEDIOAMBIENTALES Y DE SANEAMIENTO,ENVIRONMENTAL AND SANITATION SERVICES,SERVICES ENVIRONNEMENTAUX ET D'ASSAINISSEMENT,UMWELT- UND SANITÄRDIENSTLEISTUNGEN,SERVIÇOS AMBIENTAIS E DE SANEAMENTO
92,"SERVICIOS RECREATIVOS, CULTURALES Y DEPORTIVOS","RECREATIONAL, CULTURAL AND SPORTING SERVICES","SERVICES RÉCRÉATIFS, CULTURELS ET SPORTIFS","FREIZEIT-, KULTUR- UND SPORTDIENSTLEISTUNGEN","SERVIÇOS RECREATIVOS, CULTURAIS E ESPORTIVOS"
98,OTROS SERVICIOS COMUNITARIOS Y PERSONALES,OTHER COMMUNITY AND PERSONAL SERVICES,AUTRES SERVICES COMMUNAUTAIRES ET PERSONNELS,SONSTIGE GEMEINSCHAFTS- UND PERSÖNLICHE DIENSTLEISTUNGEN,OUTROS SERVIÇOS COMUNITÁRIOS E PESSOAIS
99,ORGANISMOS EXTRATERRITORIALES,EXTRATERRITORIAL ORGANISATIONS,ORGANISATIONS EXTRATERRITORIALES,EXTRATERRITORIALE ORGANISATIONEN,ORGANISMOS EXTRATERRITORIAIS
